,gy_week0511_preprocessed.end_time,gy_week0511_preprocessed.latitude,gy_week0511_preprocessed.longitude,gy_week0511_preprocessed.point_type,gy_week0511_preprocessed.start_time,gy_week0511_preprocessed.trip_purpose,gy_week0511_preprocessed.uid,gy_week0511_preprocessed.ta_id,gy_week0511_preprocessed.level
,2016-09-05 06:03:39.0,26.467438197,106.7464917905,stay,2016-09-05 00:42:19.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,123,1
,2016-09-05 06:12:20.0,26.51597019,106.7250091,normal,2016-09-05 06:12:20.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:02:11.0,26.5210655659,106.7425770196,stay,2016-09-05 06:32:51.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 07:03:52.0,26.5021966877,106.7443180575,normal,2016-09-05 07:03:52.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 07:06:32.0,26.51597019,106.7250091,normal,2016-09-05 07:06:32.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:07:47.0,26.5162898638,106.7246140411,normal,2016-09-05 07:07:47.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:08:34.0,26.51597019,106.7250091,normal,2016-09-05 07:08:34.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:09:42.0,26.511091586,106.7419480322,normal,2016-09-05 07:09:42.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 07:11:21.0,26.51597019,106.7250091,normal,2016-09-05 07:11:21.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:12:40.0,26.5210655659,106.7425770196,normal,2016-09-05 07:12:40.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 07:37:08.0,26.5021665738,106.7443180288,stay,2016-09-05 07:14:20.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 07:40:21.0,26.467468926,106.7464585471,normal,2016-09-05 07:40:21.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,123,1
,2016-09-05 07:44:08.0,26.5162898638,106.7246140411,normal,2016-09-05 07:44:08.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:44:23.0,26.51597019,106.7250091,normal,2016-09-05 07:44:23.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:49:00.0,26.5162898638,106.7246140411,normal,2016-09-05 07:49:00.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:50:14.0,26.511091586,106.7419480322,normal,2016-09-05 07:50:14.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 07:54:10.0,26.5162898638,106.7246140411,normal,2016-09-05 07:54:10.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 07:59:46.0,26.5079754142,106.771823247,normal,2016-09-05 07:59:46.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 08:05:23.0,26.48925235,106.7766999,normal,2016-09-05 08:05:23.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,123,1
,2016-09-05 08:08:57.0,26.48925235,106.7766999,normal,2016-09-05 08:08:57.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,123,1
,2016-09-05 08:09:14.0,26.48925235,106.7766999,normal,2016-09-05 08:09:14.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,123,1
,2016-09-05 08:13:15.0,26.5281118152,106.7753482318,normal,2016-09-05 08:13:15.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,62,3
,2016-09-05 08:15:25.0,26.5167519022,106.7663430084,normal,2016-09-05 08:15:25.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 08:18:03.0,26.541356078,106.7999825838,normal,2016-09-05 08:18:03.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,61,2
,2016-09-05 08:18:17.0,26.541101339,106.7998003728,normal,2016-09-05 08:18:17.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,54,2
,2016-09-05 08:43:22.0,26.5123670636,106.7487609844,stay,2016-09-05 08:28:31.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 08:55:01.0,26.541101339,106.7998003728,normal,2016-09-05 08:55:01.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,54,2
,2016-09-05 09:02:15.0,26.50797541,106.7718232,normal,2016-09-05 09:02:15.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:03:33.0,26.50797541,106.7718232,normal,2016-09-05 09:03:33.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:04:48.0,26.50797541,106.7718232,normal,2016-09-05 09:04:48.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:05:01.0,26.50797541,106.7718232,normal,2016-09-05 09:05:01.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:05:20.0,26.50797541,106.7718232,normal,2016-09-05 09:05:20.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:05:34.0,26.50797541,106.7718232,normal,2016-09-05 09:05:34.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:05:47.0,26.50797541,106.7718232,normal,2016-09-05 09:05:47.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:06:06.0,26.50797541,106.7718232,normal,2016-09-05 09:06:06.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:06:38.0,26.50797541,106.7718232,normal,2016-09-05 09:06:38.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:06:55.0,26.50797541,106.7718232,normal,2016-09-05 09:06:55.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:09:25.0,26.50797541,106.7718232,normal,2016-09-05 09:09:25.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,53,2
,2016-09-05 09:37:30.0,26.516023469,106.7249432568,stay,2016-09-05 09:12:46.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 09:46:29.0,26.50213646,106.744318,normal,2016-09-05 09:46:29.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 09:48:54.0,26.51597019,106.7250091,normal,2016-09-05 09:48:54.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 09:49:13.0,26.51597019,106.7250091,normal,2016-09-05 09:49:13.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 09:51:41.0,26.51597019,106.7250091,normal,2016-09-05 09:51:41.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 09:52:37.0,26.51597019,106.7250091,normal,2016-09-05 09:52:37.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 09:56:26.0,26.467468926,106.7464585471,normal,2016-09-05 09:56:26.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,123,1
,2016-09-05 09:56:35.0,26.467468926,106.7464585471,normal,2016-09-05 09:56:35.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,123,1
,2016-09-05 10:59:40.0,26.51597019,106.7250091,normal,2016-09-05 10:59:40.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 11:15:12.0,26.52201572,106.7239188,normal,2016-09-05 11:15:12.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 11:19:24.0,26.511091586,106.7419480322,normal,2016-09-05 11:19:24.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 11:24:30.0,26.51597019,106.7250091,normal,2016-09-05 11:24:30.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 11:24:49.0,26.5162898638,106.7246140411,normal,2016-09-05 11:24:49.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 11:44:05.0,26.5210655659,106.7425770196,stay,2016-09-05 11:28:05.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 13:32:13.0,26.5161122672,106.7248335183,stay,2016-09-05 11:43:11.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 13:33:51.0,26.5210655659,106.7425770196,normal,2016-09-05 13:33:51.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 13:36:15.0,26.5210655659,106.7425770196,normal,2016-09-05 13:36:15.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 13:38:41.0,26.5210655659,106.7425770196,normal,2016-09-05 13:38:41.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 13:41:35.0,26.5210655659,106.7425770196,normal,2016-09-05 13:41:35.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 14:01:16.0,26.5161477865,106.7247896228,stay,2016-09-05 13:44:11.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 14:10:27.0,26.5021966877,106.7443180575,normal,2016-09-05 14:10:27.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 14:37:24.0,26.5160767479,106.7248774137,stay,2016-09-05 14:20:41.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 15:32:35.0,26.511091586,106.7419480322,stay,2016-09-05 15:16:35.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 16:16:25.0,26.5161300269,106.7248115705,stay,2016-09-05 15:35:21.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 16:17:41.0,26.5210655659,106.7425770196,normal,2016-09-05 16:17:41.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,60,2
,2016-09-05 16:46:54.0,26.516225929,106.7246930529,stay,2016-09-05 16:19:27.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 18:04:25.0,26.52201572,106.7239188,stay,2016-09-05 17:48:25.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 18:54:42.0,26.5161985284,106.7247269151,stay,2016-09-05 18:01:27.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 18:56:27.0,26.52201572,106.7239188,normal,2016-09-05 18:56:27.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-05 19:36:36.0,26.5021665738,106.7443180288,stay,2016-09-05 19:00:19.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,52,2
,2016-09-05 22:25:45.0,26.5161414438,106.7247974613,stay,2016-09-05 19:38:33.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
,2016-09-06 04:25:53.0,26.52201572,106.7239188,stay,2016-09-05 23:25:46.0,unknown,25a1c207f703a4b1911bc0bf61becc4d,48,3
